Cultivo,Ubicación,Tamaño,Rendimiento,Fertilizantes
café,Valencia,Mediana,7.17,False
arroz,Almeria,Grande,1.06,False
maíz,Murcia,Mediana,4.3,False
arroz,Murcia,Mediana,7.76,True
maíz,Canarias,Pequeña,7.96,True
trigo,Granada,Mediana,4.05,False
banano,Almeria,Mediana,6.3,True
cacao,Valencia,Pequeña,4.29,True
trigo,Almeria,Grande,7.32,True
café,Almeria,Mediana,1.09,False
café,Canarias,Grande,6.88,False
cacao,Valencia,Grande,6.52,True
arroz,Valencia,Pequeña,6.54,False
cacao,Almeria,Grande,8.26,True
cacao,Granada,Pequeña,6.91,True
banano,Murcia,Pequeña,5.33,True
cacao,Granada,Mediana,2.5,False
banano,Almeria,Pequeña,7.76,False
cacao,Granada,Mediana,5.93,False
maíz,Murcia,Pequeña,1.97,False
trigo,Canarias,Pequeña,1.05,True
café,Canarias,Grande,3.56,True
banano,Granada,Mediana,5.03,False
cacao,Granada,Pequeña,2.5,True
arroz,Canarias,Mediana,5.02,True
banano,Granada,Grande,7.62,False
arroz,Murcia,Grande,1.25,True
café,Valencia,Mediana,8.76,True
trigo,Murcia,Mediana,9.61,False
banano,Granada,Grande,6.27,True
trigo,Almeria,Grande,2.55,True
trigo,Valencia,Pequeña,2.78,False
arroz,Granada,Pequeña,1.97,False
cacao,Granada,Grande,3.71,True
café,Valencia,Pequeña,5.3,False
banano,Almeria,Grande,1.17,True
café,Murcia,Pequeña,5.83,False
café,Murcia,Mediana,5.2,False
maíz,Granada,Grande,2.33,False
maíz,Canarias,Grande,4.09,True
maíz,Canarias,Mediana,1.61,True
maíz,Granada,Pequeña,4.32,True
café,Valencia,Grande,3.39,False
banano,Granada,Grande,3.24,True
arroz,Granada,Grande,2.41,True
arroz,Almeria,Pequeña,5.69,True
café,Valencia,Grande,2.96,True
trigo,Canarias,Mediana,6.27,False
maíz,Murcia,Pequeña,9.47,True
cacao,Almeria,Mediana,4.37,True
maíz,Almeria,Mediana,4.11,True
café,Murcia,Pequeña,3.26,False
arroz,Canarias,Mediana,5.38,True
cacao,Granada,Pequeña,2.11,True
maíz,Almeria,Mediana,3.04,True
trigo,Granada,Grande,1.55,True
banano,Almeria,Mediana,4.43,False
arroz,Canarias,Mediana,3.79,False
maíz,Canarias,Pequeña,8.9,False
arroz,Valencia,Grande,9.84,True
cacao,Almeria,Grande,9.62,True
café,Murcia,Grande,3.25,True
maíz,Valencia,Mediana,3.34,True
trigo,Granada,Mediana,4.26,True
banano,Valencia,Grande,4.74,True
cacao,Granada,Grande,2.03,True
cacao,Granada,Pequeña,8.41,False
arroz,Almeria,Grande,6.88,True
maíz,Granada,Grande,5.59,True
maíz,Almeria,Mediana,7.98,True
banano,Almeria,Grande,3.51,True
banano,Canarias,Pequeña,4.42,False
arroz,Granada,Grande,4.13,False
arroz,Almeria,Pequeña,5.58,True
arroz,Canarias,Mediana,9.49,False
cacao,Almeria,Mediana,4.3,False
café,Valencia,Mediana,2.13,True
arroz,Granada,Pequeña,2.07,True
banano,Almeria,Grande,3.51,False
cacao,Granada,Pequeña,7.61,False
banano,Almeria,Pequeña,2.38,True
trigo,Canarias,Mediana,9.78,True
maíz,Murcia,Pequeña,2.44,True
arroz,Valencia,Grande,5.36,True
banano,Almeria,Mediana,2.1,True
café,Canarias,Mediana,4.67,False
arroz,Valencia,Mediana,9.62,True
cacao,Granada,Grande,4.33,True
cacao,Murcia,Pequeña,5.63,True
cacao,Valencia,Mediana,3.78,True
arroz,Murcia,Grande,1.34,True
maíz,Murcia,Grande,9.78,False
trigo,Canarias,Mediana,5.91,True
trigo,Granada,Grande,9.88,True
arroz,Canarias,Grande,4.64,True
café,Murcia,Mediana,3.52,False
café,Almeria,Grande,9.67,True
café,Murcia,Mediana,7.36,True
maíz,Murcia,Pequeña,9.66,True
trigo,Valencia,Grande,8.69,True
café,Almeria,Mediana,9.4,True
maíz,Valencia,Mediana,8.79,True
maíz,Valencia,Mediana,1.3,False
maíz,Almeria,Mediana,2.01,True
maíz,Valencia,Grande,7.15,False
banano,Murcia,Mediana,5.58,False
café,Murcia,Grande,9.79,False
cacao,Canarias,Grande,2.7,False
arroz,Almeria,Pequeña,2.01,False
cacao,Valencia,Pequeña,2.88,True
maíz,Murcia,Grande,8.6,False
arroz,Almeria,Grande,3.25,False
cacao,Almeria,Pequeña,6.91,True
banano,Valencia,Pequeña,7.53,True
cacao,Almeria,Pequeña,3.65,True
cacao,Murcia,Pequeña,2.46,False
maíz,Granada,Mediana,1.25,True
trigo,Granada,Mediana,4.66,True
maíz,Canarias,Pequeña,8.48,True
trigo,Almeria,Grande,5.09,True
banano,Valencia,Mediana,4.93,False
arroz,Murcia,Pequeña,7.65,False
cacao,Valencia,Grande,2.04,True
arroz,Murcia,Grande,9.55,True
café,Valencia,Grande,3.78,True
banano,Granada,Pequeña,5.95,True
cacao,Murcia,Mediana,6.75,False
café,Murcia,Grande,2.7,True
trigo,Granada,Mediana,9.88,True
trigo,Valencia,Grande,3.7,False
trigo,Almeria,Grande,7.55,True
cacao,Almeria,Grande,4.56,False
maíz,Almeria,Pequeña,8.03,True
maíz,Canarias,Mediana,4.87,True
arroz,Granada,Mediana,2.39,True
maíz,Almeria,Mediana,5.87,False
maíz,Murcia,Mediana,7.51,True
arroz,Granada,Grande,1.09,False
arroz,Granada,Mediana,1.88,False
arroz,Granada,Pequeña,5.33,True
cacao,Valencia,Mediana,9.87,True
arroz,Murcia,Grande,6.08,True
cacao,Canarias,Mediana,2.56,True
banano,Granada,Grande,6.72,True
arroz,Granada,Mediana,8.02,True
banano,Valencia,Grande,1.86,False
maíz,Granada,Grande,8.22,False
cacao,Murcia,Grande,5.86,False
trigo,Murcia,Grande,1.3,True
banano,Canarias,Mediana,6.03,True
banano,Murcia,Pequeña,6.51,False
café,Canarias,Mediana,2.25,False
trigo,Granada,Pequeña,4.68,False
cacao,Canarias,Mediana,5.53,True
banano,Murcia,Pequeña,9.07,False
cacao,Almeria,Grande,7.38,True
banano,Valencia,Mediana,8.28,False
cacao,Valencia,Mediana,9.73,False
banano,Murcia,Grande,7.79,False
banano,Murcia,Pequeña,1.8,False
arroz,Canarias,Mediana,6.02,False
maíz,Murcia,Mediana,9.61,False
café,Valencia,Mediana,9.39,False
cacao,Valencia,Mediana,9.51,False
banano,Granada,Pequeña,6.77,False
cacao,Granada,Mediana,6.29,False
banano,Almeria,Mediana,7.96,True
cacao,Valencia,Mediana,6.2,False
cacao,Almeria,Pequeña,7.1,False
banano,Valencia,Grande,5.33,False
café,Valencia,Pequeña,6.35,False
cacao,Murcia,Mediana,1.65,False
trigo,Granada,Mediana,7.22,True
café,Granada,Grande,9.86,False
café,Valencia,Pequeña,4.23,True
maíz,Valencia,Mediana,6.53,False
cacao,Granada,Pequeña,3.4,True
café,Canarias,Pequeña,2.44,False
trigo,Canarias,Pequeña,5.32,True
banano,Granada,Pequeña,5.68,False
café,Valencia,Mediana,9.16,False
arroz,Canarias,Pequeña,4.88,True
arroz,Granada,Mediana,1.56,False
maíz,Murcia,Mediana,2.72,False
café,Granada,Mediana,2.34,False
banano,Murcia,Mediana,5.53,False
arroz,Almeria,Grande,9.81,False
maíz,Canarias,Pequeña,4.05,False
café,Granada,Pequeña,2.12,True
arroz,Murcia,Mediana,5.96,True
maíz,Murcia,Pequeña,7.1,True
cacao,Almeria,Pequeña,6.42,False
arroz,Almeria,Mediana,1.37,False
arroz,Granada,Pequeña,6.3,False
banano,Granada,Mediana,1.69,True
arroz,Murcia,Mediana,9.89,False
café,Canarias,Grande,2.59,True
trigo,Murcia,Grande,7.49,False
café,Almeria,Mediana,4.51,True
trigo,Murcia,Mediana,8.21,False
trigo,Murcia,Pequeña,2.21,True
banano,Almeria,Pequeña,2.25,True
maíz,Canarias,Mediana,9.07,True
maíz,Murcia,Pequeña,3.49,False
trigo,Valencia,Pequeña,5.62,False
banano,Valencia,Pequeña,9.81,False
maíz,Valencia,Grande,9.15,False
trigo,Murcia,Grande,8.44,True
trigo,Almeria,Pequeña,6.72,False
trigo,Almeria,Mediana,7.1,False
cacao,Canarias,Grande,7.79,True
café,Canarias,Mediana,1.45,False
maíz,Almeria,Grande,8.47,False
café,Murcia,Grande,5.44,True
cacao,Canarias,Grande,4.36,False
maíz,Canarias,Mediana,3.92,True
maíz,Murcia,Mediana,1.81,True
banano,Granada,Mediana,1.74,True
trigo,Valencia,Mediana,7.8,True
cacao,Granada,Pequeña,2.02,True
cacao,Granada,Mediana,8.05,False
trigo,Almeria,Pequeña,5.0,True
trigo,Valencia,Mediana,3.13,False
café,Almeria,Mediana,5.85,False
café,Canarias,Pequeña,6.58,False
arroz,Valencia,Grande,3.56,True
café,Almeria,Pequeña,6.64,False
banano,Granada,Mediana,4.46,True
arroz,Valencia,Grande,7.75,True
maíz,Almeria,Mediana,1.49,False
arroz,Murcia,Pequeña,9.87,False
cacao,Almeria,Mediana,1.85,False
trigo,Murcia,Grande,2.37,False
café,Valencia,Mediana,1.64,False
café,Valencia,Mediana,9.27,False
banano,Valencia,Pequeña,7.86,False
cacao,Almeria,Grande,9.11,False
banano,Granada,Pequeña,5.5,True
maíz,Murcia,Pequeña,7.32,False
café,Granada,Grande,9.72,False
arroz,Granada,Mediana,6.15,False
cacao,Granada,Pequeña,9.35,True
banano,Valencia,Pequeña,4.75,False
arroz,Murcia,Mediana,1.86,True
cacao,Granada,Pequeña,3.15,False
maíz,Granada,Grande,4.66,False
arroz,Murcia,Grande,4.81,True
maíz,Valencia,Pequeña,3.25,True
maíz,Almeria,Pequeña,1.92,False
cacao,Canarias,Pequeña,8.77,False
arroz,Granada,Grande,5.5,True
trigo,Murcia,Mediana,7.52,False
arroz,Valencia,Mediana,6.74,False
arroz,Almeria,Grande,7.52,False
arroz,Granada,Pequeña,9.49,True
cacao,Almeria,Mediana,9.12,False
maíz,Granada,Mediana,9.62,False
café,Canarias,Mediana,1.46,True
arroz,Almeria,Pequeña,9.27,True
banano,Granada,Grande,1.95,False
arroz,Valencia,Grande,8.71,False
cacao,Murcia,Grande,3.69,False
cacao,Granada,Mediana,1.75,False
banano,Almeria,Pequeña,6.46,True
arroz,Murcia,Pequeña,2.85,False
arroz,Canarias,Grande,1.82,True
café,Valencia,Grande,5.2,False
cacao,Valencia,Grande,2.4,True
maíz,Valencia,Mediana,5.17,False
arroz,Canarias,Grande,9.01,False
cacao,Valencia,Mediana,6.88,False
cacao,Murcia,Mediana,9.06,True
café,Murcia,Mediana,2.03,False
arroz,Murcia,Grande,4.58,False
arroz,Murcia,Pequeña,7.22,True
arroz,Almeria,Pequeña,6.4,True
banano,Canarias,Grande,1.4,True
trigo,Almeria,Mediana,1.84,True
café,Canarias,Grande,1.42,True
trigo,Canarias,Grande,3.92,False
trigo,Valencia,Pequeña,9.63,True
maíz,Almeria,Pequeña,5.33,False
trigo,Canarias,Pequeña,5.06,False
café,Canarias,Grande,3.95,False
trigo,Granada,Pequeña,9.25,False
arroz,Canarias,Grande,2.42,False
arroz,Murcia,Pequeña,6.82,True
banano,Granada,Mediana,4.33,True
maíz,Valencia,Mediana,8.75,False
maíz,Murcia,Grande,6.18,False
maíz,Almeria,Pequeña,9.26,False
café,Canarias,Pequeña,2.16,True
banano,Murcia,Grande,9.88,False
cacao,Murcia,Mediana,1.73,True
