Cultivo,Ubicaciones,Rendimiento,Tamaño,Fertilizantes
verde,Campohermoso,1.13,4,False
kumato,Campohermoso,5.91,3,False
rosa,La Mojonera,3.23,3,False
Raf,Campohermoso,3.31,3,False
corazon de buey,El Alquian,2.92,1,True
verde,Nijar,5.49,3,False
corazon de buey,La Mojonera,0.81,3,False
cherry,El Ejido,9.38,4,False
 de pera,La Mojonera,0.86,2,False
rosa,El Alquian,3.91,1,False
cherry,Campohermoso,7.77,3,True
verde,Campohermoso,1.96,1,False
verde,El Ejido,7.96,4,True
verde,La Mojonera,6.32,4,False
rosa,La Mojonera,3.35,4,True
corazon de buey,El Alquian,4.81,4,False
kumato,El Ejido,1.48,2,True
corazon de buey,El Alquian,9.51,2,True
kumato,La Mojonera,7.06,2,False
Raf,Campohermoso,2.86,1,False
Raf,Campohermoso,9.18,3,True
Raf,Nijar,6.57,2,True
corazon de buey,Nijar,4.11,3,False
kumato,Nijar,0.36,3,True
kumato,El Alquian,8.55,4,True
corazon de buey,Campohermoso,6.01,3,False
kumato,Campohermoso,5.91,3,True
rosa,Campohermoso,1.6,1,True
bola,La Mojonera,9.0,4,True
kumato,La Mojonera,7.78,2,False
rosa,El Alquian,7.88,4,True
verde,Campohermoso,2.36,2,False
kumato,El Alquian,8.68,4,True
rosa,El Alquian,5.33,1,True
kumato,El Alquian,3.77,2,True
Raf,Nijar,5.86,4,True
rosa,La Mojonera,7.04,2,False
rosa,Campohermoso,8.42,1,True
Raf,El Ejido,0.07,3,False
Raf,Nijar,0.11,2,False
bola,Campohermoso,3.65,1,False
cherry,La Mojonera,6.1,3,True
cherry,La Mojonera,7.79,2,False
kumato,Nijar,7.95,1,False
rosa,Campohermoso,5.25,4,False
verde,Campohermoso,3.78,1,True
verde,Nijar,8.66,1,False
bola,El Ejido,9.51,1,False
rosa,Nijar,1.27,1,False
cherry,Nijar,9.98,3,True
kumato,El Alquian,0.64,3,False
bola,Nijar,9.61,3,False
kumato,El Ejido,5.94,4,True
cherry,La Mojonera,4.77,1,False
 de pera,El Ejido,9.92,2,False
bola,Nijar,0.11,4,False
Raf,El Alquian,1.82,2,True
rosa,El Ejido,0.32,4,True
rosa,El Ejido,7.04,3,True
 de pera,El Alquian,5.21,1,False
corazon de buey,El Alquian,3.39,4,False
rosa,El Alquian,1.56,3,False
bola,El Alquian,1.18,1,True
corazon de buey,Nijar,1.38,3,True
rosa,El Ejido,4.53,1,True
 de pera,El Ejido,9.4,3,True
cherry,Nijar,6.47,3,True
 de pera,Campohermoso,9.93,4,True
Raf,Nijar,8.85,4,True
corazon de buey,Nijar,9.86,3,False
